Angle,Relative Luminous Intensity
-90.0,0.06934158600016105
-89.81981981981981,0.06996191351604619
-89.63963963963964,0.07058612299585931
-89.45945945945945,0.0712144054229985
-89.27927927927928,0.07184694917018786
-89.09909909909909,0.0724839400129047
-88.91891891891892,0.07312556114278679
-88.73873873873873,0.07377199318100447
-88.55855855855856,0.07442341419161269
-88.37837837837837,0.07507999969487189
-88.1981981981982,0.07574192268054314
-88.01801801801801,0.0764093536211563
-87.83783783783784,0.07708246048525091
-87.65765765765765,0.0777614087505909
-87.47747747747748,0.07844636141735062
-87.29729729729729,0.07913747902127555
-87.11711711711712,0.079834919646815
-86.93693693693693,0.08053883894022718
-86.75675675675676,0.08124939012265942
-86.57657657657657,0.0819667240032006
-86.3963963963964,0.08269098899190308
-86.21621621621621,0.08342233111278408
-86.03603603603604,0.08416089401679383
-85.85585585585585,0.08490681899476027
-85.67567567567568,0.08566024499030622
-85.49549549549549,0.08642130861273933
-85.31531531531532,0.08719014414991333
-85.13513513513513,0.08796688358106564
-84.95495495495496,0.08875165658962414
-84.77477477477477,0.0895445905759904
-84.5945945945946,0.09034581067029324
-84.41441441441441,0.09115543974511742
-84.23423423423424,0.0919735984282033
-84.05405405405405,0.09280040511512033
-83.87387387387388,0.09363597598191453
-83.69369369369369,0.09448042499772724
-83.51351351351352,0.09533386393738763
-83.33333333333333,0.09619640239397897
-83.15315315315316,0.09706814779137551
-82.97297297297297,0.09794920539675589
-82.7927927927928,0.09883967833308605
-82.61261261261261,0.09973966759157715
-82.43243243243244,0.10064927204411567
-82.25225225225225,0.10156858845566785
-82.07207207207207,0.10249771149665399
-81.89189189189189,0.1034367337552996
-81.71171171171171,0.10438574574995685
-81.53153153153153,0.10534483594139987
-81.35135135135135,0.1063140907450929
-81.17117117117117,0.10729359454343224
-80.990990990991,0.1082834296979589
-80.8108108108108,0.10928367656154725
-80.63063063063063,0.11029441349056479
-80.45045045045045,0.1113157168570047
-80.27027027027027,0.11234766106059224
-80.09009009009009,0.11339031854086434
-79.90990990990991,0.11444375978922083
-79.72972972972973,0.11550805336094971
-79.54954954954955,0.1165832658872259
-79.36936936936937,0.11766946208708084
-79.1891891891892,0.1187667047793477
-79.009009009009,0.11987505489457795
-78.82882882882883,0.12099457148693016
-78.64864864864865,0.12212531174603536
-78.46846846846847,0.12326733100882992
-78.28828828828829,0.12442068277136709
-78.10810810810811,0.12558541870059703
-77.92792792792793,0.1267615886461223
-77.74774774774775,0.12794924065192537
-77.56756756756756,0.1291484209680699
-77.38738738738739,0.13035917406237374
-77.2072072072072,0.13158154263205668
-77.02702702702703,0.1328155676153585
-76.84684684684684,0.13406128820313357
-76.66666666666667,0.13531874185041493
-76.48648648648648,0.1365879642879535
-76.30630630630631,0.13786898953373028
-76.12612612612612,0.13916184990443947
-75.94594594594595,0.14046657602694756
-75.76576576576576,0.14178319684972318
-75.58558558558559,0.14311173965424018
-75.4054054054054,0.14445223006635477
-75.22522522522523,0.14580469206765467
-75.04504504504504,0.14716914800678194
-74.86486486486487,0.1485456186107278
-74.68468468468468,0.14993412299610165
-74.50450450450451,0.15133467868037132
-74.32432432432432,0.1527473015930796
-74.14414414414415,0.15417200608702863
-73.96396396396396,0.15560880494944274
-73.78378378378379,0.1570577094131005
-73.6036036036036,0.15851872916744136
-73.42342342342343,0.15999187236964418
-73.24324324324324,0.16147714565568105
-73.06306306306307,0.16297455415134
-72.88288288288288,0.16448410148322634
-72.70270270270271,0.16600578978973046
-72.52252252252252,0.16753961973197473
-72.34234234234233,0.16908559050472904
-72.16216216216216,0.1706436998473012
-71.98198198198199,0.17221394405440016
-71.8018018018018,0.17379631798697193
-71.62162162162161,0.1753908150830087
-71.44144144144144,0.1769974273683308
-71.26126126126127,0.17861614546734128
-71.08108108108108,0.18024695861375495
-70.9009009009009,0.18188985466129792
-70.72072072072072,0.183544820094382
-70.54054054054055,0.18521184003875235
-70.36036036036036,0.18689089827210603
-70.18018018018017,0.18858197723468617
-70.0,0.1902850580398464
-69.81981981981983,0.1920001204845908
-69.63963963963964,0.19372714306008487
-69.45945945945945,0.19546610296214117
-69.27927927927928,0.19721697610167566
-69.0990990990991,0.19897973711514005
-68.91891891891892,0.2007543593749237
-68.73873873873873,0.2025408149997323
-68.55855855855856,0.20433907486493563
-68.37837837837839,0.20614910861289082
-68.1981981981982,0.20797088466323876
-68.01801801801801,0.2098043702231711
-67.83783783783784,0.2116495312976735
-67.65765765765767,0.21350633269973818
-67.47747747747748,0.21537473806055418
-67.29729729729729,0.21725470983966444
-67.11711711711712,0.21914620933510176
-66.93693693693695,0.22104919669349443
-66.75675675675676,0.22296363092014593
-66.57657657657657,0.22488946988908654
-66.3963963963964,0.226826670353099
-66.21621621621622,0.22877518795371754
-66.03603603603604,0.23073497723119896
-65.85585585585585,0.2327059916344656
-65.67567567567568,0.23468818353102439
-65.4954954954955,0.2366815042168562
-65.31531531531532,0.23868590392627942
-65.13513513513513,0.24070133184178577
-64.95495495495496,0.24272773610384923
-64.77477477477478,0.2447650638207094
-64.5945945945946,0.2468132610781255
-64.41441441441441,0.24887227294910486
-64.23423423423424,0.25094204350360394
-64.05405405405406,0.25302251581820223
-63.873873873873876,0.2551136319857503
-63.693693693693696,0.25721533312498845
-63.513513513513516,0.25932755939013996
-63.333333333333336,0.26145024998047806
-63.153153153153156,0.263583343149864
-62.972972972972975,0.26572677621625873
-62.792792792792795,0.26788048557120936
-62.612612612612615,0.27004440668930474
-62.432432432432435,0.27221847413760847
-62.252252252252255,0.274402621585061
