Voltage (V),Current (mA)
3.389895138226883,96.84158415841584
3.392278360343184,96.84158415841584
3.3946615824594852,96.84158415841584
3.3970448045757866,96.84158415841584
3.399428026692088,96.84158415841584
3.4018112488083894,96.84158415841584
3.4041944709246903,96.84158415841584
3.4065776930409912,96.84158415841584
3.3851286939942806,96.73267326732673
3.3875119161105816,96.73267326732673
3.389895138226883,96.73267326732673
3.392278360343184,96.73267326732673
3.3946615824594852,96.73267326732673
3.3970448045757866,96.73267326732673
3.399428026692088,96.73267326732673
3.4018112488083894,96.73267326732673
3.4041944709246903,96.73267326732673
3.4065776930409912,96.73267326732673
3.4089609151572926,96.73267326732673
3.380362249761678,96.62376237623762
3.3827454718779792,96.62376237623762
3.3851286939942806,96.62376237623762
3.3875119161105816,96.62376237623762
3.389895138226883,96.62376237623762
3.392278360343184,96.62376237623762
3.3946615824594852,96.62376237623762
3.3970448045757866,96.62376237623762
3.399428026692088,96.62376237623762
3.4018112488083894,96.62376237623762
3.4041944709246903,96.62376237623762
3.4065776930409912,96.62376237623762
3.4089609151572926,96.62376237623762
3.3779790276453765,96.51485148514851
3.380362249761678,96.51485148514851
3.3827454718779792,96.51485148514851
3.3851286939942806,96.51485148514851
3.3875119161105816,96.51485148514851
3.389895138226883,96.51485148514851
3.392278360343184,96.51485148514851
3.3946615824594852,96.51485148514851
3.3970448045757866,96.51485148514851
3.399428026692088,96.51485148514851
3.4018112488083894,96.51485148514851
3.4041944709246903,96.51485148514851
3.4065776930409912,96.51485148514851
3.4089609151572926,96.51485148514851
3.375595805529075,96.4059405940594
3.3779790276453765,96.4059405940594
3.380362249761678,96.4059405940594
3.3827454718779792,96.4059405940594
3.3851286939942806,96.4059405940594
3.3875119161105816,96.4059405940594
3.389895138226883,96.4059405940594
3.392278360343184,96.4059405940594
3.3946615824594852,96.4059405940594
3.3970448045757866,96.4059405940594
3.399428026692088,96.4059405940594
3.4018112488083894,96.4059405940594
3.4041944709246903,96.4059405940594
3.4065776930409912,96.4059405940594
3.4089609151572926,96.4059405940594
3.375595805529075,96.29702970297029
3.3779790276453765,96.29702970297029
3.380362249761678,96.29702970297029
3.3827454718779792,96.29702970297029
3.3851286939942806,96.29702970297029
3.3875119161105816,96.29702970297029
3.389895138226883,96.29702970297029
3.392278360343184,96.29702970297029
3.3946615824594852,96.29702970297029
3.3970448045757866,96.29702970297029
3.399428026692088,96.29702970297029
3.4018112488083894,96.29702970297029
3.4041944709246903,96.29702970297029
3.4065776930409912,96.29702970297029
3.4089609151572926,96.29702970297029
3.3708293612964733,96.18811881188118
3.373212583412774,96.18811881188118
3.375595805529075,96.18811881188118
3.3779790276453765,96.18811881188118
3.380362249761678,96.18811881188118
3.3827454718779792,96.18811881188118
3.3851286939942806,96.18811881188118
3.3875119161105816,96.18811881188118
3.389895138226883,96.18811881188118
3.392278360343184,96.18811881188118
3.3946615824594852,96.18811881188118
3.3970448045757866,96.18811881188118
3.399428026692088,96.18811881188118
3.4018112488083894,96.18811881188118
3.4041944709246903,96.18811881188118
3.4065776930409912,96.18811881188118
3.368446139180172,96.07920792079207
3.3708293612964733,96.07920792079207
3.373212583412774,96.07920792079207
3.375595805529075,96.07920792079207
3.3779790276453765,96.07920792079207
3.380362249761678,96.07920792079207
3.3827454718779792,96.07920792079207
3.3851286939942806,96.07920792079207
3.3875119161105816,96.07920792079207
3.389895138226883,96.07920792079207
3.392278360343184,96.07920792079207
3.3946615824594852,96.07920792079207
3.3970448045757866,96.07920792079207
3.399428026692088,96.07920792079207
3.4018112488083894,96.07920792079207
3.4041944709246903,96.07920792079207
3.3660629170638705,95.97029702970298
3.368446139180172,95.97029702970298
3.3708293612964733,95.97029702970298
3.373212583412774,95.97029702970298
3.375595805529075,95.97029702970298
3.3779790276453765,95.97029702970298
3.380362249761678,95.97029702970298
3.3827454718779792,95.97029702970298
3.3851286939942806,95.97029702970298
3.3875119161105816,95.97029702970298
3.389895138226883,95.97029702970298
3.392278360343184,95.97029702970298
3.3946615824594852,95.97029702970298
3.3970448045757866,95.97029702970298
3.399428026692088,95.97029702970298
3.4018112488083894,95.97029702970298
3.363679694947569,95.86138613861387
3.3660629170638705,95.86138613861387
3.368446139180172,95.86138613861387
3.3708293612964733,95.86138613861387
3.373212583412774,95.86138613861387
3.375595805529075,95.86138613861387
3.3779790276453765,95.86138613861387
3.380362249761678,95.86138613861387
3.3827454718779792,95.86138613861387
3.3851286939942806,95.86138613861387
3.3875119161105816,95.86138613861387
3.389895138226883,95.86138613861387
3.392278360343184,95.86138613861387
3.3946615824594852,95.86138613861387
3.3970448045757866,95.86138613861387
3.399428026692088,95.86138613861387
3.3612964728312678,95.75247524752476
3.363679694947569,95.75247524752476
3.3660629170638705,95.75247524752476
3.368446139180172,95.75247524752476
3.3708293612964733,95.75247524752476
3.373212583412774,95.75247524752476
3.375595805529075,95.75247524752476
3.3779790276453765,95.75247524752476
3.380362249761678,95.75247524752476
3.3827454718779792,95.75247524752476
3.3851286939942806,95.75247524752476
3.3875119161105816,95.75247524752476
3.389895138226883,95.75247524752476
3.392278360343184,95.75247524752476
3.3946615824594852,95.75247524752476
3.3970448045757866,95.75247524752476
3.3612964728312678,95.64356435643565
3.363679694947569,95.64356435643565
3.3660629170638705,95.64356435643565
3.368446139180172,95.64356435643565
3.3708293612964733,95.64356435643565
3.373212583412774,95.64356435643565
3.375595805529075,95.64356435643565
3.3779790276453765,95.64356435643565
3.380362249761678,95.64356435643565
3.3827454718779792,95.64356435643565
3.3851286939942806,95.64356435643565
