Current,Absolute Luminescence
87.55317116958777,3520.186494863961
87.92939362647283,3520.186494863961
88.30723273910175,3520.186494863961
88.68669545436397,3520.186494863961
89.06778874900009,3520.186494863961
89.45051962973041,3520.186494863961
86.80554858398231,3493.682196253671
87.17855845128075,3493.682196253671
87.55317116958777,3493.682196253671
87.92939362647283,3493.682196253671
88.30723273910175,3493.682196253671
88.68669545436397,3493.682196253671
89.06778874900009,3493.682196253671
89.45051962973041,3493.682196253671
89.83489513338357,3493.682196253671
90.22092232702607,3493.682196253671
90.60860830809195,3493.682196253671
86.43413470959288,3467.3774546401046
86.80554858398231,3467.3774546401046
87.17855845128075,3467.3774546401046
87.55317116958777,3467.3774546401046
87.92939362647283,3467.3774546401046
88.30723273910175,3467.3774546401046
88.68669545436397,3467.3774546401046
89.06778874900009,3467.3774546401046
89.45051962973041,3467.3774546401046
89.83489513338357,3467.3774546401046
90.22092232702607,3467.3774546401046
90.60860830809195,3467.3774546401046
90.99796020451357,3467.3774546401046
91.38898517485259,3467.3774546401046
86.06430999935642,3441.2707675124616
86.43413470959288,3441.2707675124616
86.80554858398231,3441.2707675124616
87.17855845128075,3441.2707675124616
87.55317116958777,3441.2707675124616
87.92939362647283,3441.2707675124616
88.30723273910175,3441.2707675124616
88.68669545436397,3441.2707675124616
89.06778874900009,3441.2707675124616
89.45051962973041,3441.2707675124616
89.83489513338357,3441.2707675124616
90.22092232702607,3441.2707675124616
90.60860830809195,3441.2707675124616
90.99796020451357,3441.2707675124616
91.38898517485259,3441.2707675124616
86.06430999935642,3415.3606436726914
86.43413470959288,3415.3606436726914
86.80554858398231,3415.3606436726914
87.17855845128075,3415.3606436726914
87.55317116958777,3415.3606436726914
87.92939362647283,3415.3606436726914
88.30723273910175,3415.3606436726914
88.68669545436397,3415.3606436726914
89.06778874900009,3415.3606436726914
89.45051962973041,3415.3606436726914
89.83489513338357,3415.3606436726914
90.22092232702607,3415.3606436726914
90.60860830809195,3415.3606436726914
90.99796020451357,3415.3606436726914
91.38898517485259,3415.3606436726914
86.06430999935642,3389.6456031503153
86.43413470959288,3389.6456031503153
86.80554858398231,3389.6456031503153
87.17855845128075,3389.6456031503153
87.55317116958777,3389.6456031503153
87.92939362647283,3389.6456031503153
88.30723273910175,3389.6456031503153
88.68669545436397,3389.6456031503153
89.06778874900009,3389.6456031503153
89.45051962973041,3389.6456031503153
89.83489513338357,3389.6456031503153
90.22092232702607,3389.6456031503153
90.60860830809195,3389.6456031503153
90.99796020451357,3389.6456031503153
91.38898517485259,3389.6456031503153
80.01395462028783,3364.124177117907
80.35778050563503,3364.124177117907
80.70308383626028,3364.124177117907
81.04987096085532,3364.124177117907
81.39814825539271,3364.124177117907
86.06430999935642,3364.124177117907
86.43413470959288,3364.124177117907
86.80554858398231,3364.124177117907
87.17855845128075,3364.124177117907
87.55317116958777,3364.124177117907
87.92939362647283,3364.124177117907
88.30723273910175,3364.124177117907
88.68669545436397,3364.124177117907
89.06778874900009,3364.124177117907
89.45051962973041,3364.124177117907
89.83489513338357,3364.124177117907
90.22092232702607,3364.124177117907
90.60860830809195,3364.124177117907
90.99796020451357,3364.124177117907
91.38898517485259,3364.124177117907
78.99127855576197,3338.79490780717
79.33070992636506,3338.79490780717
79.67159985869112,3338.79490780717
80.01395462028783,3338.79490780717
80.35778050563503,3338.79490780717
80.70308383626028,3338.79490780717
81.04987096085532,3338.79490780717
81.39814825539271,3338.79490780717
81.74792212324293,3338.79490780717
86.06430999935642,3338.79490780717
86.43413470959288,3338.79490780717
86.80554858398231,3338.79490780717
87.17855845128075,3338.79490780717
87.55317116958777,3338.79490780717
87.92939362647283,3338.79490780717
88.30723273910175,3338.79490780717
88.68669545436397,3338.79490780717
89.06778874900009,3338.79490780717
89.45051962973041,3338.79490780717
89.83489513338357,3338.79490780717
90.22092232702607,3338.79490780717
90.60860830809195,3338.79490780717
90.99796020451357,3338.79490780717
77.6480142758103,3313.6563484256853
77.98167354037888,3313.6563484256853
78.31676656350356,3313.6563484256853
78.65329950615099,3313.6563484256853
78.99127855576197,3313.6563484256853
79.33070992636506,3313.6563484256853
79.67159985869112,3313.6563484256853
80.01395462028783,3313.6563484256853
80.35778050563503,3313.6563484256853
80.70308383626028,3313.6563484256853
81.04987096085532,3313.6563484256853
81.39814825539271,3313.6563484256853
81.74792212324293,3313.6563484256853
82.0991989952923,3313.6563484256853
86.43413470959288,3313.6563484256853
86.80554858398231,3313.6563484256853
87.17855845128075,3313.6563484256853
87.55317116958777,3313.6563484256853
87.92939362647283,3313.6563484256853
88.30723273910175,3313.6563484256853
88.68669545436397,3313.6563484256853
89.06778874900009,3313.6563484256853
89.45051962973041,3313.6563484256853
89.83489513338357,3313.6563484256853
90.22092232702607,3313.6563484256853
90.60860830809195,3313.6563484256853
76.65557781851135,3288.707063074271
76.98497251016634,3288.707063074271
77.315782635192,3288.707063074271
77.6480142758103,3288.707063074271
77.98167354037888,3288.707063074271
78.31676656350356,3288.707063074271
78.65329950615099,3288.707063074271
78.99127855576197,3288.707063074271
79.33070992636506,3288.707063074271
79.67159985869112,3288.707063074271
80.01395462028783,3288.707063074271
80.35778050563503,3288.707063074271
80.70308383626028,3288.707063074271
81.04987096085532,3288.707063074271
81.39814825539271,3288.707063074271
81.74792212324293,3288.707063074271
82.0991989952923,3288.707063074271
86.80554858398231,3288.707063074271
87.17855845128075,3288.707063074271
87.55317116958777,3288.707063074271
87.92939362647283,3288.707063074271
88.30723273910175,3288.707063074271
88.68669545436397,3288.707063074271
