Model,MDO4104C
Firmware Version,1.10

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,1e-06,
Horizontal Delay,0,
Sample Interval,1e-09,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,0.001,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1e-06,20
Vertical Position,0,0
,,
,,
,,
Label,,
TIME,CH2,CH3
-4.863e-06,-1.72969e-07,13.5594
-4.862e-06,-1.76094e-07,13.5406
-4.861e-06,-1.7125e-07,13.5344
-4.860e-06,-1.62031e-07,13.6313
-4.859e-06,-1.60156e-07,13.6313
-4.858e-06,-1.61719e-07,13.5813
-4.857e-06,-1.625e-07,13.5719
-4.856e-06,-1.74219e-07,13.55
-4.855e-06,-1.77812e-07,13.5625
-4.854e-06,-1.74687e-07,13.5344
-4.853e-06,-1.74375e-07,13.5344
-4.852e-06,-1.70469e-07,13.6625
-4.851e-06,-1.76719e-07,13.65
-4.850e-06,-1.74063e-07,13.5813
-4.849e-06,-1.70938e-07,13.5281
-4.848e-06,-1.65156e-07,13.5063
-4.847e-06,-1.67344e-07,13.5469
-4.846e-06,-1.69062e-07,13.6938
-4.845e-06,-1.75469e-07,13.4781
-4.844e-06,-1.66562e-07,13.5375
-4.843e-06,-1.70469e-07,13.5156
-4.842e-06,-1.70781e-07,13.5781
-4.841e-06,-1.76563e-07,13.6156
-4.840e-06,-1.76094e-07,13.5844
-4.839e-06,-1.77031e-07,13.5375
-4.838e-06,-1.77344e-07,13.6094
-4.837e-06,-1.75313e-07,13.65
-4.836e-06,-1.82188e-07,13.5125
-4.835e-06,-1.83437e-07,13.5594
-4.834e-06,-1.86719e-07,13.6
-4.833e-06,-1.85469e-07,13.5906
-4.832e-06,-1.8375e-07,13.6281
-4.831e-06,-1.81094e-07,13.5844
-4.830e-06,-1.74219e-07,13.5312
-4.829e-06,-1.82656e-07,13.5719
-4.828e-06,-1.84531e-07,13.6875
-4.827e-06,-1.88125e-07,13.6094
-4.826e-06,-1.84375e-07,13.5531
-4.825e-06,-1.80625e-07,13.5469
-4.824e-06,-1.79375e-07,13.5875
-4.823e-06,-1.77031e-07,13.5781
-4.822e-06,-1.76406e-07,13.5438
-4.821e-06,-1.75e-07,13.5312
-4.820e-06,-1.65469e-07,13.65
-4.819e-06,-1.65313e-07,13.6219
-4.818e-06,-1.65625e-07,13.6125
-4.817e-06,-1.64062e-07,13.6313
-4.816e-06,-1.60625e-07,13.5813
-4.815e-06,-1.56094e-07,13.5625
-4.814e-06,-1.48594e-07,13.7281
-4.813e-06,-1.56094e-07,13.5469
-4.812e-06,-1.59844e-07,13.5469
-4.811e-06,-1.66406e-07,13.5563
-4.810e-06,-1.61563e-07,13.5719
-4.809e-06,-1.51406e-07,13.6969
-4.808e-06,-1.6375e-07,13.6125
-4.807e-06,-1.62344e-07,13.5719
-4.806e-06,-1.61094e-07,13.5875
-4.805e-06,-1.71875e-07,13.6625
-4.804e-06,-1.74687e-07,13.6219
-4.803e-06,-1.72187e-07,13.625
-4.802e-06,-1.77344e-07,13.6156
-4.801e-06,-1.75938e-07,13.5906
-4.800e-06,-1.74219e-07,13.6125
-4.799e-06,-1.71406e-07,13.5188
-4.798e-06,-1.83125e-07,13.6125
-4.797e-06,-1.85781e-07,13.5438
-4.796e-06,-1.88281e-07,13.7281
-4.795e-06,-1.86094e-07,13.6094
-4.794e-06,-1.94375e-07,13.6063
-4.793e-06,-1.98125e-07,13.6
-4.792e-06,-2.00625e-07,13.5844
-4.791e-06,-1.98125e-07,13.6156
-4.790e-06,-1.95313e-07,13.6063
-4.789e-06,-1.85781e-07,13.575
-4.788e-06,-1.85312e-07,13.6781
-4.787e-06,-1.79063e-07,13.6906
-4.786e-06,-1.76563e-07,13.6656
-4.785e-06,-1.70625e-07,13.5844
-4.784e-06,-1.74531e-07,13.5625
-4.783e-06,-1.72656e-07,13.5719
-4.782e-06,-1.7e-07,13.7469
-4.781e-06,-1.66562e-07,13.5031
-4.780e-06,-1.6e-07,13.6094
-4.779e-06,-1.62969e-07,13.5688
-4.778e-06,-1.57656e-07,13.6313
-4.777e-06,-1.55938e-07,13.6688
-4.776e-06,-1.53438e-07,13.6
-4.775e-06,-1.57969e-07,13.6281
-4.774e-06,-1.55938e-07,13.6188
-4.773e-06,-1.47031e-07,13.6438
-4.772e-06,-1.52344e-07,13.6844
-4.771e-06,-1.53438e-07,13.6219
-4.770e-06,-1.58437e-07,13.6813
-4.769e-06,-1.59688e-07,13.6094
-4.768e-06,-1.54844e-07,13.6156
-4.767e-06,-1.55156e-07,13.6031
-4.766e-06,-1.60156e-07,13.55
-4.765e-06,-1.48906e-07,13.5688
-4.764e-06,-1.51094e-07,13.7625
-4.763e-06,-1.50625e-07,13.675
-4.762e-06,-1.4625e-07,13.6219
-4.761e-06,-1.48906e-07,13.6031
-4.760e-06,-1.53438e-07,13.6156
-4.759e-06,-1.53281e-07,13.625
-4.758e-06,-1.58594e-07,13.6125
-4.757e-06,-1.53438e-07,13.575
-4.756e-06,-1.5375e-07,13.6719
-4.755e-06,-1.61719e-07,13.6094
-4.754e-06,-1.58437e-07,13.6156
-4.753e-06,-1.64375e-07,13.6719
-4.752e-06,-1.62031e-07,13.6031
-4.751e-06,-1.55312e-07,13.6594
-4.750e-06,-1.55938e-07,13.7531
-4.749e-06,-1.62031e-07,13.5219
-4.748e-06,-1.55312e-07,13.5656
-4.747e-06,-1.63437e-07,13.5344
-4.746e-06,-1.63594e-07,13.5813
-4.745e-06,-1.60156e-07,13.7313
-4.744e-06,-1.64531e-07,13.65
-4.743e-06,-1.54063e-07,13.6719
-4.742e-06,-1.52344e-07,13.5938
-4.741e-06,-1.46875e-07,13.6406
-4.740e-06,-1.47969e-07,13.625
-4.739e-06,-1.57031e-07,13.6344
-4.738e-06,-1.5125e-07,13.6438
-4.737e-06,-1.52344e-07,13.6125
-4.736e-06,-1.48906e-07,13.6781
-4.735e-06,-1.48281e-07,13.6
-4.734e-06,-1.54688e-07,13.5719
-4.733e-06,-1.45469e-07,13.5719
-4.732e-06,-1.42656e-07,13.725
-4.731e-06,-1.39219e-07,13.6719
-4.730e-06,-1.35e-07,13.65
-4.729e-06,-1.38125e-07,13.6375
-4.728e-06,-1.40469e-07,13.6969
-4.727e-06,-1.36094e-07,13.6125
-4.726e-06,-1.36719e-07,13.6813
-4.725e-06,-1.3625e-07,13.55
-4.724e-06,-1.35e-07,13.7125
-4.723e-06,-1.37188e-07,13.6656
-4.722e-06,-1.42031e-07,13.6938
-4.721e-06,-1.425e-07,13.5781
-4.720e-06,-1.37188e-07,13.5781
-4.719e-06,-1.35469e-07,13.6125
-4.718e-06,-1.36719e-07,13.775
-4.717e-06,-1.3625e-07,13.5406
-4.716e-06,-1.30781e-07,13.5438
-4.715e-06,-1.35781e-07,13.5938
-4.714e-06,-1.37969e-07,13.5625
-4.713e-06,-1.35156e-07,13.7
-4.712e-06,-1.35313e-07,13.6469
-4.711e-06,-1.42031e-07,13.6562
-4.710e-06,-1.42031e-07,13.5844
-4.709e-06,-1.36563e-07,13.6594
-4.708e-06,-1.3875e-07,13.6219
-4.707e-06,-1.33281e-07,13.6406
-4.706e-06,-1.25156e-07,13.6438
