Model,MDO4104C
Firmware Version,1.10

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-06,
Horizontal Delay,0,
Sample Interval,4e-09,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.05,20
Vertical Position,0,0
,,
,,
,,
Label,,
TIME,CH2,CH3
-1.9376e-05,0.0680234,13.8125
-1.9372e-05,0.0670859,13.8594
-1.9368e-05,0.0664766,13.9062
-1.9364e-05,0.0658047,13.8969
-1.9360e-05,0.0648281,13.8219
-1.9356e-05,0.0640781,13.9156
-1.9352e-05,0.0632656,13.9
-1.9348e-05,0.0625234,13.9188
-1.9344e-05,0.0615781,13.8594
-1.9340e-05,0.0608203,13.8063
-1.9336e-05,0.0600234,13.8875
-1.9332e-05,0.0592031,13.8188
-1.9328e-05,0.0584453,13.9438
-1.9324e-05,0.0575156,13.8438
-1.9320e-05,0.0566562,13.8625
-1.9316e-05,0.0558672,13.8094
-1.9312e-05,0.0552578,13.8938
-1.9308e-05,0.0542344,13.825
-1.9304e-05,0.0534609,13.8031
-1.9300e-05,0.0526406,13.8344
-1.9296e-05,0.0518594,13.8375
-1.9292e-05,0.0510625,13.8438
-1.9288e-05,0.0502891,13.8969
-1.9284e-05,0.0492891,13.8563
-1.9280e-05,0.0485156,13.8594
-1.9276e-05,0.0477813,13.9188
-1.9272e-05,0.0468438,13.825
-1.9268e-05,0.0458984,13.7938
-1.9264e-05,0.0450234,13.8406
-1.9260e-05,0.0444063,13.8156
-1.9256e-05,0.0436563,13.9031
-1.9252e-05,0.0425,13.7656
-1.9248e-05,0.0418203,13.8406
-1.9244e-05,0.0409609,13.8844
-1.9240e-05,0.0400547,13.875
-1.9236e-05,0.0393359,13.8938
-1.9232e-05,0.0383281,13.8219
-1.9228e-05,0.0375391,13.8969
-1.9224e-05,0.0366953,13.8125
-1.9220e-05,0.0359766,13.8875
-1.9216e-05,0.0348516,13.825
-1.9212e-05,0.0340781,13.7438
-1.9208e-05,0.0333437,13.8594
-1.9204e-05,0.032375,13.7906
-1.9200e-05,0.0315313,13.8625
-1.9196e-05,0.0308516,13.8594
-1.9192e-05,0.0297344,13.8625
-1.9188e-05,0.029125,13.8281
-1.9184e-05,0.0282344,13.9344
-1.9180e-05,0.0275391,13.8125
-1.9176e-05,0.0264766,13.7844
-1.9172e-05,0.0256875,13.8063
-1.9168e-05,0.0248594,13.8094
-1.9164e-05,0.0240547,13.8813
-1.9160e-05,0.0231719,13.8594
-1.9156e-05,0.0223359,13.8281
-1.9152e-05,0.0216094,13.8188
-1.9148e-05,0.02075,13.8563
-1.9144e-05,0.0197891,13.8313
-1.9140e-05,0.0189609,13.7906
-1.9136e-05,0.0180703,13.8313
-1.9132e-05,0.0172188,13.8719
-1.9128e-05,0.0167578,13.8719
-1.9124e-05,0.0155469,13.7031
-1.9120e-05,0.0149922,13.8344
-1.9116e-05,0.0140234,13.9219
-1.9112e-05,0.0132344,13.8625
-1.9108e-05,0.0125781,13.8844
-1.9104e-05,0.0115625,13.8219
-1.9100e-05,0.0108906,13.825
-1.9096e-05,0.0100078,13.8438
-1.9092e-05,0.00925781,13.8906
-1.9088e-05,0.00842969,13.8688
-1.9084e-05,0.0075625,13.8094
-1.9080e-05,0.00692188,13.8656
-1.9076e-05,0.00582031,13.7844
-1.9072e-05,0.00522656,13.8688
-1.9068e-05,0.00452344,13.7875
-1.9064e-05,0.00351563,13.7656
-1.9060e-05,0.00292187,13.8344
-1.9056e-05,0.00224219,13.9219
-1.9052e-05,0.00133594,13.8188
-1.9048e-05,0.000578125,13.7938
-1.9044e-05,-0.000289062,13.7969
-1.9040e-05,-0.000953125,13.825
-1.9036e-05,-0.001625,13.9188
-1.9032e-05,-0.00252344,13.8563
-1.9028e-05,-0.00316406,13.8375
-1.9024e-05,-0.00388281,13.8594
-1.9020e-05,-0.00467969,13.8375
-1.9016e-05,-0.00542969,13.8469
-1.9012e-05,-0.00616406,13.7469
-1.9008e-05,-0.00703125,13.7906
-1.9004e-05,-0.00769531,13.8844
-1.9000e-05,-0.0081875,13.9062
-1.8996e-05,-0.00928906,13.725
-1.8992e-05,-0.00998438,13.8063
-1.8988e-05,-0.0106563,13.8875
-1.8984e-05,-0.0113281,13.8625
-1.8980e-05,-0.0120625,13.8844
-1.8976e-05,-0.0127969,13.7969
-1.8972e-05,-0.0132891,13.825
-1.8968e-05,-0.0143281,13.8469
-1.8964e-05,-0.0149063,13.9
-1.8960e-05,-0.0157188,13.8656
-1.8956e-05,-0.0164375,13.7812
-1.8952e-05,-0.0171328,13.8375
-1.8948e-05,-0.0179609,13.7781
-1.8944e-05,-0.0185859,13.8906
-1.8940e-05,-0.0192031,13.7438
-1.8936e-05,-0.0199844,13.8781
-1.8932e-05,-0.0207969,13.7875
-1.8928e-05,-0.0213594,13.8719
-1.8924e-05,-0.0221953,13.7781
-1.8920e-05,-0.0227578,13.8188
-1.8916e-05,-0.0234219,13.7969
-1.8912e-05,-0.0240625,13.8125
-1.8908e-05,-0.0247031,13.8438
-1.8904e-05,-0.0254375,13.8094
-1.8900e-05,-0.0261328,13.825
-1.8896e-05,-0.0265625,13.8563
-1.8892e-05,-0.0274453,13.8531
-1.8888e-05,-0.0280234,13.7938
-1.8884e-05,-0.0286641,13.7406
-1.8880e-05,-0.029375,13.8281
-1.8876e-05,-0.0300625,13.9188
-1.8872e-05,-0.0302812,13.8719
-1.8868e-05,-0.0313203,13.7281
-1.8864e-05,-0.0318359,13.8031
-1.8860e-05,-0.0325469,13.8656
-1.8856e-05,-0.0329844,13.8469
-1.8852e-05,-0.0334531,13.8906
-1.8848e-05,-0.0342187,13.8
-1.8844e-05,-0.0347656,13.8344
-1.8840e-05,-0.0354609,13.875
-1.8836e-05,-0.0358281,13.8656
-1.8832e-05,-0.0365547,13.9
-1.8828e-05,-0.0370547,13.7594
-1.8824e-05,-0.0376719,13.7906
-1.8820e-05,-0.0383516,13.7031
-1.8816e-05,-0.0386719,13.9188
-1.8812e-05,-0.0394609,13.7938
-1.8808e-05,-0.0401172,13.825
-1.8804e-05,-0.0404766,13.8
-1.8800e-05,-0.0409062,13.8813
-1.8796e-05,-0.0415547,13.7625
-1.8792e-05,-0.0421406,13.8094
-1.8788e-05,-0.0425859,13.8
-1.8784e-05,-0.0431641,13.7969
-1.8780e-05,-0.0436094,13.8781
-1.8776e-05,-0.0441875,13.8031
-1.8772e-05,-0.0446641,13.8188
-1.8768e-05,-0.0450078,13.8031
-1.8764e-05,-0.0456328,13.875
-1.8760e-05,-0.0460156,13.8313
-1.8756e-05,-0.0465078,13.7844
-1.8752e-05,-0.0473281,13.7969
-1.8748e-05,-0.0475625,13.8438
-1.8744e-05,-0.0479766,13.8813
-1.8740e-05,-0.0486875,13.6406
-1.8736e-05,-0.0488828,13.8094
-1.8732e-05,-0.0493281,13.8406
-1.8728e-05,-0.0497422,13.8094
-1.8724e-05,-0.0500937,13.8875
-1.8720e-05,-0.0506328,13.7719
-1.8716e-05,-0.0510313,13.8938
-1.8712e-05,-0.0516172,13.8625
-1.8708e-05,-0.0517344,13.8844
-1.8704e-05,-0.0523828,13.7531
-1.8700e-05,-0.0526484,13.7688
-1.8696e-05,-0.0530391,13.7719
-1.8692e-05,-0.0535703,13.7219
-1.8688e-05,-0.053875,13.8688
-1.8684e-05,-0.0543828,13.7938
-1.8680e-05,-0.0547578,13.7375
-1.8676e-05,-0.0548984,13.8094
-1.8672e-05,-0.0551875,13.8781
-1.8668e-05,-0.0557031,13.7906
-1.8664e-05,-0.0561641,13.8
-1.8660e-05,-0.0563516,13.8156
-1.8656e-05,-0.0566406,13.7875
-1.8652e-05,-0.0570391,13.8719
-1.8648e-05,-0.0575156,13.825
-1.8644e-05,-0.0578437,13.8094
-1.8640e-05,-0.0581641,13.8531
-1.8636e-05,-0.0583359,13.8875
-1.8632e-05,-0.0587734,13.8219
-1.8628e-05,-0.0589219,13.7563
-1.8624e-05,-0.0593672,13.7812
-1.8620e-05,-0.0595234,13.8344
-1.8616e-05,-0.0597813,13.8875
-1.8612e-05,-0.0603906,13.7188
-1.8608e-05,-0.0603906,13.8875
-1.8604e-05,-0.0606328,13.7969
-1.8600e-05,-0.0609141,13.8625
-1.8596e-05,-0.0610234,13.8656
-1.8592e-05,-0.0613125,13.8156
-1.8588e-05,-0.0614766,13.8781
-1.8584e-05,-0.0619453,13.8063
-1.8580e-05,-0.0619922,13.8656
-1.8576e-05,-0.0623984,13.7313
-1.8572e-05,-0.0625469,13.8094
-1.8568e-05,-0.06275,13.7406
-1.8564e-05,-0.0632031,13.7781
-1.8560e-05,-0.0633359,13.875
-1.8556e-05,-0.0635391,13.7938
-1.8552e-05,-0.0636719,13.8
-1.8548e-05,-0.0639219,13.7875
-1.8544e-05,-0.0638125,13.9469
-1.8540e-05,-0.0642578,13.7844
-1.8536e-05,-0.0644922,13.7969
-1.8532e-05,-0.0647109,13.7906
-1.8528e-05,-0.0648281,13.7969
-1.8524e-05,-0.0648828,13.8375
-1.8520e-05,-0.0651797,13.775
-1.8516e-05,-0.0652188,13.8625
-1.8512e-05,-0.0652891,13.8188
-1.8508e-05,-0.0656719,13.8594
-1.8504e-05,-0.0658281,13.8188
-1.8500e-05,-0.0659688,13.7375
-1.8496e-05,-0.0663125,13.7531
-1.8492e-05,-0.0660938,13.825
-1.8488e-05,-0.0661172,13.8469
-1.8484e-05,-0.0666094,13.7344
