TIME,CH2,CH3
-5.000e-06,0.00605859,-7.07812
-4.999e-06,0.00600781,-8.71875
-4.998e-06,0.00593906,-9.71563
-4.997e-06,0.00590313,-10.2938
-4.996e-06,0.00584063,-10.4094
-4.995e-06,0.00578203,-10.2625
-4.994e-06,0.00572109,-9.69063
-4.993e-06,0.00567656,-9.16875
-4.992e-06,0.00561172,-8.42188
-4.991e-06,0.00555781,-7.91563
-4.990e-06,0.00554063,-7.44688
-4.989e-06,0.00547109,-7.175
-4.988e-06,0.00546406,-6.89375
-4.987e-06,0.00538828,-6.96875
-4.986e-06,0.00531875,-7.13438
-4.985e-06,0.0052625,-7.25625
-4.984e-06,0.00520313,-7.57188
-4.983e-06,0.00515234,-8.19063
-4.982e-06,0.00506875,-8.8875
-4.981e-06,0.00507422,-9.60938
-4.980e-06,0.00497734,-10.3875
-4.979e-06,0.00494531,-11.3844
-4.978e-06,0.00486563,-12.2094
-4.977e-06,0.00484609,-12.9625
-4.976e-06,0.00479453,-13.6594
-4.975e-06,0.00472578,-14.1469
-4.974e-06,0.00466953,-14.3563
-4.973e-06,0.00459141,-14.6844
-4.972e-06,0.00455391,-14.7219
-4.971e-06,0.00452031,-14.6344
-4.970e-06,0.00448203,-14.4906
-4.969e-06,0.00439297,-14.2688
-4.968e-06,0.00435313,-14.15
-4.967e-06,0.00429063,-13.8875
-4.966e-06,0.004225,-13.6219
-4.965e-06,0.00416641,-13.3688
-4.964e-06,0.00411094,-13.275
-4.963e-06,0.004025,-13.1438
-4.962e-06,0.00401406,-13.0156
-4.961e-06,0.00393984,-13.0438
-4.960e-06,0.00387188,-13.1531
-4.959e-06,0.00382344,-13.2563
-4.958e-06,0.00379297,-13.4375
-4.957e-06,0.00373125,-13.6562
-4.956e-06,0.00369453,-13.8688
-4.955e-06,0.00362969,-14.2156
-4.954e-06,0.00353359,-14.4281
-4.953e-06,0.00350078,-14.6094
-4.952e-06,0.00343516,-14.8
-4.951e-06,0.00337031,-14.9594
-4.950e-06,0.00329688,-15.0719
-4.949e-06,0.00327188,-15.1281
-4.948e-06,0.00322969,-15.1344
-4.947e-06,0.00315703,-15.0875
-4.946e-06,0.00309453,-15.0375
-4.945e-06,0.00306563,-15.0625
-4.944e-06,0.00297969,-14.9531
-4.943e-06,0.00290781,-14.8875
-4.942e-06,0.00291016,-14.6531
-4.941e-06,0.00280859,-14.7
-4.940e-06,0.00273828,-14.5656
-4.939e-06,0.00271094,-14.5188
-4.938e-06,0.00266172,-14.3781
-4.937e-06,0.00265,-14.3844
-4.936e-06,0.00254609,-14.4031
-4.935e-06,0.00250313,-14.4281
-4.934e-06,0.00242344,-14.4344
-4.933e-06,0.00242031,-14.475
-4.932e-06,0.00234297,-14.5969
-4.931e-06,0.00226016,-14.6781
-4.930e-06,0.00224375,-14.8063
-4.929e-06,0.00215703,-14.9656
-4.928e-06,0.00211875,-14.9
-4.927e-06,0.00205938,-15.0656
-4.926e-06,0.00197891,-15.075
-4.925e-06,0.00195,-15.1125
-4.924e-06,0.0018875,-15.0188
-4.923e-06,0.00183203,-15.05
-4.922e-06,0.00176328,-15.1406
-4.921e-06,0.00172109,-15.1313
-4.920e-06,0.00166484,-15.0438
-4.919e-06,0.00160234,-14.9844
-4.918e-06,0.00156484,-14.9156
-4.917e-06,0.00151172,-14.9375
-4.916e-06,0.00145,-14.875
-4.915e-06,0.00137031,-14.8219
-4.914e-06,0.00130313,-14.7875
-4.913e-06,0.00126406,-14.85
-4.912e-06,0.00118984,-14.7563
-4.911e-06,0.00115781,-14.8281
-4.910e-06,0.00111016,-14.7719
-4.909e-06,0.00103906,-14.9656
-4.908e-06,0.000974219,-14.8688
-4.907e-06,0.000942969,-14.8969
-4.906e-06,0.000863281,-14.8563
-4.905e-06,0.000858594,-14.925
-4.904e-06,0.000764062,-15
-4.903e-06,0.000708594,-15.05
-4.902e-06,0.000664844,-15.0406
-4.901e-06,0.000577344,-15.075
-4.900e-06,0.000544531,-15.0531
-4.899e-06,0.000465625,-15.1375
-4.898e-06,0.000421875,-15.0813
-4.897e-06,0.00038125,-15.1219
-4.896e-06,0.000316406,-15.0656
-4.895e-06,0.000241406,-15.0969
-4.894e-06,0.000158594,-15.0312
-4.893e-06,0.000164063,-15.0344
-4.892e-06,9.14063e-05,-14.9031
-4.891e-06,3.98438e-05,-15.0406
-4.890e-06,-3.82812e-05,-15.0344
-4.889e-06,-8.59375e-05,-15.0125
-4.888e-06,-0.000179687,-14.9781
-4.887e-06,-0.000178906,-14.9781
-4.886e-06,-0.000239063,-14.9031
-4.885e-06,-0.000309375,-14.9969
-4.884e-06,-0.000359375,-14.9594
-4.883e-06,-0.000416406,-14.9469
-4.882e-06,-0.000463281,-14.9844
-4.881e-06,-0.000505469,-15.0813
-4.880e-06,-0.000582812,-15.0688
-4.879e-06,-0.000607813,-15.0156
-4.878e-06,-0.000685156,-14.9469
-4.877e-06,-0.000760938,-15.1375
-4.876e-06,-0.000819531,-15.0719
-4.875e-06,-0.000877344,-15.1313
-4.874e-06,-0.0009375,-15.05
-4.873e-06,-0.000975,-15.0906
-4.872e-06,-0.00100547,-15.0063
-4.871e-06,-0.00105,-15.0875
-4.870e-06,-0.00115469,-14.9844
-4.869e-06,-0.00119375,-15.025
-4.868e-06,-0.00125859,-15.0688
-4.867e-06,-0.00132188,-15.0938
-4.866e-06,-0.00133047,-15.0281
-4.865e-06,-0.00142656,-15.1375
-4.864e-06,-0.00148672,-14.9531
-4.863e-06,-0.00153438,-15.0563
-4.862e-06,-0.00162109,-15.0781
-4.861e-06,-0.00165391,-15.0844
-4.860e-06,-0.00168359,-14.9188
-4.859e-06,-0.00174688,-15.0344
-4.858e-06,-0.00179531,-15.075
-4.857e-06,-0.00189531,-15.0938
-4.856e-06,-0.00192813,-15.0531
-4.855e-06,-0.00197266,-15.0688
-4.854e-06,-0.00204453,-15.025
-4.853e-06,-0.00210312,-15.0969
-4.852e-06,-0.00212266,-15.0938
-4.851e-06,-0.00221797,-15.0188
-4.850e-06,-0.00223281,-15.0469
-4.849e-06,-0.00231562,-15.1063
-4.848e-06,-0.00238359,-15.1531
-4.847e-06,-0.00240391,-15.0906
-4.846e-06,-0.00249219,-15
-4.845e-06,-0.00254219,-15.1
-4.844e-06,-0.00256094,-15.0969
-4.843e-06,-0.00264219,-15.1406
-4.842e-06,-0.00268438,-15.0031
-4.841e-06,-0.00272656,-14.9906
-4.840e-06,-0.0027875,-15.0156
-4.839e-06,-0.00284141,-15.1156
-4.838e-06,-0.00291406,-15.0125
-4.837e-06,-0.00296406,-14.9813
-4.836e-06,-0.0030375,-15.075
-4.835e-06,-0.00305547,-15.0906
-4.834e-06,-0.00314922,-15.0563
-4.833e-06,-0.00320781,-15.1656
-4.832e-06,-0.00321953,-15.0219
-4.831e-06,-0.00330781,-15.0781
-4.830e-06,-0.00337813,-15.0938
-4.829e-06,-0.00339688,-15.1063
-4.828e-06,-0.00343281,-14.9938
-4.827e-06,-0.00350703,-15.1188
-4.826e-06,-0.00357031,-15.1438
-4.825e-06,-0.00363359,-15.125
-4.824e-06,-0.00369531,-15.0656
-4.823e-06,-0.00377656,-15.1031
-4.822e-06,-0.00379922,-15.0219
-4.821e-06,-0.00387109,-15.1
-4.820e-06,-0.00392578,-15.0406
-4.819e-06,-0.00395703,-15.0156
-4.818e-06,-0.00399141,-15.0656
-4.817e-06,-0.00407422,-15.0969
-4.816e-06,-0.00413906,-15.1594
-4.815e-06,-0.00420625,-15.0375
-4.814e-06,-0.0042375,-15.05
-4.813e-06,-0.00429141,-15.1688
-4.812e-06,-0.00436406,-15.0813
-4.811e-06,-0.00442109,-15.2156
-4.810e-06,-0.00447656,-15.025
-4.809e-06,-0.00451484,-14.9906
-4.808e-06,-0.00456797,-15.0156
-4.807e-06,-0.00460625,-15.0719
-4.806e-06,-0.00468594,-15.0844
-4.805e-06,-0.00473359,-15.0969
-4.804e-06,-0.00480078,-15.1125
-4.803e-06,-0.00484688,-15.1188
-4.802e-06,-0.00487422,-15.0875
-4.801e-06,-0.00496172,-15.1562
-4.800e-06,-0.005,-15.0781
-4.799e-06,-0.00505391,-15.1594
-4.798e-06,-0.00510391,-15.0938
-4.797e-06,-0.00513125,-15.1031
-4.796e-06,-0.00520547,-14.9844
-4.795e-06,-0.00525859,-15.0688
-4.794e-06,-0.00533281,-15.1094
-4.793e-06,-0.00538281,-15.1188
-4.792e-06,-0.00543125,-15.0813
-4.791e-06,-0.00545859,-15.0781
-4.790e-06,-0.00552109,-15.0531
-4.789e-06,-0.00556328,-15.0594
-4.788e-06,-0.00560156,-15.0688
-4.787e-06,-0.00571875,-15.0563
-4.786e-06,-0.0057125,-15.0281
-4.785e-06,-0.00578203,-15.1219
-4.784e-06,-0.00587813,-15.1469
-4.783e-06,-0.00591172,-15.0438
-4.782e-06,-0.00590938,-14.9844
-4.781e-06,-0.00603203,-15.1844
-4.780e-06,-0.00608984,-15.1094
-4.779e-06,-0.00615625,-15.1906
-4.778e-06,-0.00617266,-15.0469
-4.777e-06,-0.006225,-15.0438
-4.776e-06,-0.00628047,-15.0594
-4.775e-06,-0.00632188,-15.1344
