time	Ix(U2:Ano)	Ix(U3:Cath)
7.985149999990522e-07	-1.481027e-07	7.756251e-08
8.087549999990096e-07	-1.481694e-07	7.747248e-08
8.189949999989670e-07	-1.482336e-07	7.738561e-08
8.292349999989244e-07	-1.482957e-07	7.730178e-08
8.394749999988818e-07	-1.483555e-07	7.722091e-08
8.497149999988392e-07	-1.484132e-07	7.714287e-08
8.599549999987966e-07	-1.484690e-07	7.706757e-08
8.701949999987540e-07	-1.485227e-07	7.699492e-08
8.804349999987114e-07	-1.485746e-07	7.692481e-08
8.906749999986688e-07	-1.486247e-07	7.685717e-08
9.009149999986262e-07	-1.486729e-07	7.679191e-08
9.111549999985836e-07	-1.487195e-07	7.672893e-08
9.213949999985410e-07	-1.487645e-07	7.666817e-08
9.316349999984984e-07	-1.488079e-07	7.660954e-08
9.418749999984558e-07	-1.488498e-07	7.655296e-08
9.521149999984132e-07	-1.488901e-07	7.649838e-08
9.623549999984625e-07	-1.489291e-07	7.644571e-08
9.725949999985284e-07	-1.489667e-07	7.639489e-08
9.828349999985942e-07	-1.490030e-07	7.634586e-08
9.930749999986600e-07	-1.490380e-07	7.629855e-08
1.001165000000001e-06	-1.477621e-07	7.504787e-08
1.001284285714285e-06	-1.450988e-07	7.257118e-08
1.001403571428569e-06	-1.415787e-07	6.927594e-08
1.001522857142852e-06	-1.372019e-07	6.516217e-08
1.001642142857136e-06	-1.319685e-07	6.022986e-08
1.001761428571420e-06	-1.258784e-07	5.447902e-08
1.001880714285704e-06	-1.189315e-07	4.790964e-08
1.001999999999987e-06	-1.111280e-07	4.052172e-08
1.001999999999997e-06	-1.192093e-07	3.941518e-08
1.002000000000017e-06	-9.685755e-08	5.431634e-08
1.002000000000027e-06	-1.067917e-07	4.189871e-08
1.002000000000047e-06	-1.241763e-07	3.196460e-08
1.002000000000057e-06	-1.192093e-07	3.693165e-08
1.002000000000077e-06	-1.005960e-07	4.934051e-08
1.002000000000117e-06	-9.809931e-08	5.059105e-08
1.002000000000197e-06	-1.080334e-07	4.314047e-08
